y_grad,unit,sex,age,geo,year,value
Total,Percentage,Females,Total,Lithuania,2006,40.74
Total,Percentage,Females,Total,Latvia,2009,48.93
Total,Percentage,Females,Total,Latvia,2006,44.49
Total,Percentage,Females,Total,Malta,2009,21.54
Total,Percentage,Females,Total,Malta,2006,0
Total,Percentage,Females,Total,Netherlands,2009,0
Total,Percentage,Females,Total,Netherlands,2006,30
Total,Percentage,Females,Total,Norway,2009,33.78
Total,Percentage,Females,Total,Norway,2006,29.46
Total,Percentage,Females,Total,Poland,2009,43.8
Total,Percentage,Females,Total,Poland,2006,0
Total,Percentage,Females,Total,Portugal,2009,53.99
Total,Percentage,Females,Total,Portugal,2006,40.79
Total,Percentage,Females,Total,Russia,2009,40.04
Total,Percentage,Females,Total,Russia,2006,0
Total,Percentage,Females,Total,Sweden,2009,36.33
Total,Percentage,Females,Total,Sweden,2006,33.39
Total,Percentage,Females,Total,Slovenia,2009,37.72
Total,Percentage,Females,Total,Slovenia,2006,0
Total,Percentage,Females,Total,Turkey,2009,34.86
Total,Percentage,Females,Total,Turkey,2006,0
Total,Percentage,Females,Total,United States,2009,31.22
Total,Percentage,Females,Total,United States,2006,29.68
Total,Percentage,Females,Unknown,Bulgaria,2009,0
Total,Percentage,Females,Unknown,Bulgaria,2006,0
Total,Percentage,Females,Unknown,Germany (until 1990 former territory of the FRG),2009,0
Total,Percentage,Females,Unknown,Germany (until 1990 former territory of the FRG),2006,0
Total,Percentage,Females,Unknown,Israel,2009,0
Total,Percentage,Females,Unknown,Israel,2006,0
Total,Percentage,Females,Unknown,Lithuania,2009,0
Total,Percentage,Females,Unknown,Lithuania,2006,0
Total,Percentage,Females,Unknown,Norway,2009,0
Total,Percentage,Females,Unknown,Norway,2006,0
Total,Percentage,Females,Unknown,Poland,2009,0
Total,Percentage,Females,Unknown,Poland,2006,0
Total,Percentage,Females,Unknown,Portugal,2009,0
Total,Percentage,Females,Unknown,Portugal,2006,0
Total,Percentage,Females,Unknown,Russia,2009,0
Total,Percentage,Females,Unknown,Russia,2006,0
Total,Percentage,Females,From 35 to 44 years,Bulgaria,2009,9.08
Total,Percentage,Females,From 35 to 44 years,Bulgaria,2006,7.14
Total,Percentage,Females,From 35 to 44 years,Switzerland,2009,9.35
Total,Percentage,Females,From 35 to 44 years,Switzerland,2006,9
Total,Percentage,Females,From 35 to 44 years,Cyprus,2009,0
Total,Percentage,Females,From 35 to 44 years,Cyprus,2006,8.15
Total,Percentage,Females,From 35 to 44 years,Germany (until 1990 former territory of the FRG),2009,8.61
Total,Percentage,Females,From 35 to 44 years,Germany (until 1990 former territory of the FRG),2006,9.06
Total,Percentage,Females,From 35 to 44 years,Denmark,2009,17.33
Total,Percentage,Females,From 35 to 44 years,Denmark,2006,18.38
Total,Percentage,Females,From 35 to 44 years,Estonia,2009,0
Total,Percentage,Females,From 35 to 44 years,Estonia,2006,10.38
Total,Percentage,Females,From 35 to 44 years,Finland,2009,13.44
Total,Percentage,Females,From 35 to 44 years,Finland,2006,12.02
Total,Percentage,Females,From 35 to 44 years,Croatia,2009,14.04
Total,Percentage,Females,From 35 to 44 years,Croatia,2006,12.47
Total,Percentage,Females,From 35 to 44 years,Hungary,2009,9.52
Total,Percentage,Females,From 35 to 44 years,Hungary,2006,0
Total,Percentage,Females,From 35 to 44 years,Israel,2009,11.32
Total,Percentage,Females,From 35 to 44 years,Israel,2006,0
Total,Percentage,Females,From 35 to 44 years,Iceland,2009,10.37
Total,Percentage,Females,From 35 to 44 years,Iceland,2006,8.86
Total,Percentage,Females,From 35 to 44 years,Lithuania,2009,13.78
Total,Percentage,Females,From 35 to 44 years,Lithuania,2006,10.2
Total,Percentage,Females,From 35 to 44 years,Latvia,2009,10.69
Total,Percentage,Females,From 35 to 44 years,Latvia,2006,7.02
Total,Percentage,Females,From 35 to 44 years,Malta,2009,8.29
Total,Percentage,Females,From 35 to 44 years,Malta,2006,0
Total,Percentage,Females,From 35 to 44 years,Netherlands,2009,0
Total,Percentage,Females,From 35 to 44 years,Netherlands,2006,10
Total,Percentage,Females,From 35 to 44 years,Norway,2009,12.42
Total,Percentage,Females,From 35 to 44 years,Norway,2006,11.43
Total,Percentage,Females,From 35 to 44 years,Poland,2009,14.39
Total,Percentage,Females,From 35 to 44 years,Poland,2006,0
Total,Percentage,Females,From 35 to 44 years,Portugal,2009,17.23
Total,Percentage,Females,From 35 to 44 years,Portugal,2006,15.56
Total,Percentage,Females,From 35 to 44 years,Russia,2009,7.99
Total,Percentage,Females,From 35 to 44 years,Russia,2006,0
Total,Percentage,Females,From 35 to 44 years,Sweden,2009,12.12
Total,Percentage,Females,From 35 to 44 years,Sweden,2006,10.71
Total,Percentage,Females,From 35 to 44 years,Slovenia,2009,14.53
Total,Percentage,Females,From 35 to 44 years,Slovenia,2006,0
Total,Percentage,Females,From 35 to 44 years,Turkey,2009,15.69
Total,Percentage,Females,From 35 to 44 years,Turkey,2006,0
Total,Percentage,Females,From 35 to 44 years,United States,2009,9.55
Total,Percentage,Females,From 35 to 44 years,United States,2006,9.38
Total,Percentage,Females,From 45 to 54 years,Bulgaria,2009,11.71
Total,Percentage,Females,From 45 to 54 years,Bulgaria,2006,11.64
Total,Percentage,Females,From 45 to 54 years,Switzerland,2009,6.05
Total,Percentage,Females,From 45 to 54 years,Switzerland,2006,6.37
Total,Percentage,Females,From 45 to 54 years,Cyprus,2009,0
Total,Percentage,Females,From 45 to 54 years,Cyprus,2006,7.59
Total,Percentage,Females,From 45 to 54 years,Germany (until 1990 former territory of the FRG),2009,7.33
Total,Percentage,Females,From 45 to 54 years,Germany (until 1990 former territory of the FRG),2006,6.28
Total,Percentage,Females,From 45 to 54 years,Denmark,2009,10.32
Total,Percentage,Females,From 45 to 54 years,Denmark,2006,2.52
Total,Percentage,Females,From 45 to 54 years,Estonia,2009,0
Total,Percentage,Females,From 45 to 54 years,Estonia,2006,10.88
Total,Percentage,Females,From 45 to 54 years,Finland,2009,12.18
Total,Percentage,Females,From 45 to 54 years,Finland,2006,10.46
Total,Percentage,Females,From 45 to 54 years,Croatia,2009,10.63
Total,Percentage,Females,From 45 to 54 years,Croatia,2006,10.16
Total,Percentage,Females,From 45 to 54 years,Hungary,2009,7.03
Total,Percentage,Females,From 45 to 54 years,Hungary,2006,0
Total,Percentage,Females,From 45 to 54 years,Israel,2009,9.85
Total,Percentage,Females,From 45 to 54 years,Israel,2006,0
Total,Percentage,Females,From 45 to 54 years,Iceland,2009,10.95
Total,Percentage,Females,From 45 to 54 years,Iceland,2006,10.55
Total,Percentage,Females,From 45 to 54 years,Lithuania,2009,12.33
Total,Percentage,Females,From 45 to 54 years,Lithuania,2006,10.25
Total,Percentage,Females,From 45 to 54 years,Latvia,2009,11.96
Total,Percentage,Females,From 45 to 54 years,Latvia,2006,11.46
Total,Percentage,Females,From 45 to 54 years,Malta,2009,8.33
Total,Percentage,Females,From 45 to 54 years,Malta,2006,0
Total,Percentage,Females,From 45 to 54 years,Netherlands,2009,0
Total,Percentage,Females,From 45 to 54 years,Netherlands,2006,6.25
Total,Percentage,Females,From 45 to 54 years,Norway,2009,10.46
Total,Percentage,Females,From 45 to 54 years,Norway,2006,7.99
Total,Percentage,Females,From 45 to 54 years,Poland,2009,8.1
Total,Percentage,Females,From 45 to 54 years,Poland,2006,0
Total,Percentage,Females,From 45 to 54 years,Portugal,2009,7.61
Total,Percentage,Females,From 45 to 54 years,Portugal,2006,13.63
Total,Percentage,Females,From 45 to 54 years,Russia,2009,10.94
Total,Percentage,Females,From 45 to 54 years,Russia,2006,0
Total,Percentage,Females,From 45 to 54 years,Sweden,2009,9.13
Total,Percentage,Females,From 45 to 54 years,Sweden,2006,8.1
Total,Percentage,Females,From 45 to 54 years,Slovenia,2009,9.77
Total,Percentage,Females,From 45 to 54 years,Slovenia,2006,0
Total,Percentage,Females,From 45 to 54 years,Turkey,2009,8.44
Total,Percentage,Females,From 45 to 54 years,Turkey,2006,0
Total,Percentage,Females,From 45 to 54 years,United States,2009,8.6
Total,Percentage,Females,From 45 to 54 years,United States,2006,8.5
Total,Percentage,Females,From 55 to 64 years,Bulgaria,2009,11.57
Total,Percentage,Females,From 55 to 64 years,Bulgaria,2006,11.53
Total,Percentage,Females,From 55 to 64 years,Switzerland,2009,3.97
Total,Percentage,Females,From 55 to 64 years,Switzerland,2006,3.32
Total,Percentage,Females,From 55 to 64 years,Cyprus,2009,0
Total,Percentage,Females,From 55 to 64 years,Cyprus,2006,3.89
Total,Percentage,Females,From 55 to 64 years,Germany (until 1990 former territory of the FRG),2009,3.71
Total,Percentage,Females,From 55 to 64 years,Germany (until 1990 former territory of the FRG),2006,4.23
Total,Percentage,Females,From 55 to 64 years,Denmark,2009,2.93
Total,Percentage,Females,From 55 to 64 years,Denmark,2006,1.08
Total,Percentage,Females,From 55 to 64 years,Estonia,2009,0
Total,Percentage,Females,From 55 to 64 years,Estonia,2006,9.99
Total,Percentage,Females,From 55 to 64 years,Finland,2009,7.65
Total,Percentage,Females,From 55 to 64 years,Finland,2006,6.56
Total,Percentage,Females,From 55 to 64 years,Croatia,2009,9.14
Total,Percentage,Females,From 55 to 64 years,Croatia,2006,10.19
Total,Percentage,Females,From 55 to 64 years,Hungary,2009,8.28
Total,Percentage,Females,From 55 to 64 years,Hungary,2006,0
Total,Percentage,Females,From 55 to 64 years,Israel,2009,11.7
Total,Percentage,Females,From 55 to 64 years,Israel,2006,0
Total,Percentage,Females,From 55 to 64 years,Iceland,2009,7.78
Total,Percentage,Females,From 55 to 64 years,Iceland,2006,5.07
Total,Percentage,Females,From 55 to 64 years,Lithuania,2009,8.37
Total,Percentage,Females,From 55 to 64 years,Lithuania,2006,8.89
Total,Percentage,Females,From 55 to 64 years,Latvia,2009,14.53
Total,Percentage,Females,From 55 to 64 years,Latvia,2006,14.57
Total,Percentage,Females,From 55 to 64 years,Malta,2009,3.4
Total,Percentage,Females,From 55 to 64 years,Malta,2006,0
Total,Percentage,Females,From 55 to 64 years,Netherlands,2009,0
Total,Percentage,Females,From 55 to 64 years,Netherlands,2006,3.75
Total,Percentage,Females,From 55 to 64 years,Norway,2009,5.78
Total,Percentage,Females,From 55 to 64 years,Norway,2006,3.96
Total,Percentage,Females,From 55 to 64 years,Poland,2009,4.58
Total,Percentage,Females,From 55 to 64 years,Poland,2006,0
Total,Percentage,Females,From 55 to 64 years,Portugal,2009,1.01
Total,Percentage,Females,From 55 to 64 years,Portugal,2006,6.92
Total,Percentage,Females,From 55 to 64 years,Russia,2009,10.82
Total,Percentage,Females,From 55 to 64 years,Russia,2006,0
Total,Percentage,Females,From 55 to 64 years,Sweden,2009,7.03
Total,Percentage,Females,From 55 to 64 years,Sweden,2006,6.85
Total,Percentage,Females,From 55 to 64 years,Slovenia,2009,5.48
Total,Percentage,Females,From 55 to 64 years,Slovenia,2006,0
Total,Percentage,Females,From 55 to 64 years,Turkey,2009,3.73
Total,Percentage,Females,From 55 to 64 years,Turkey,2006,0
Total,Percentage,Females,From 55 to 64 years,United States,2009,6.94
Total,Percentage,Females,From 55 to 64 years,United States,2006,6.31
Total,Percentage,Females,From 65 to 69 years,Bulgaria,2009,3.2
Total,Percentage,Females,From 65 to 69 years,Bulgaria,2006,4.49
Total,Percentage,Females,From 65 to 69 years,Switzerland,2009,0
Total,Percentage,Females,From 65 to 69 years,Switzerland,2006,1.1
Total,Percentage,Females,From 65 to 69 years,Cyprus,2009,0
Total,Percentage,Females,From 65 to 69 years,Cyprus,2006,0.37
Total,Percentage,Females,From 65 to 69 years,Germany (until 1990 former territory of the FRG),2009,4.95
Total,Percentage,Females,From 65 to 69 years,Germany (until 1990 former territory of the FRG),2006,0
Total,Percentage,Females,From 65 to 69 years,Denmark,2009,0.36
Total,Percentage,Females,From 65 to 69 years,Denmark,2006,0
Total,Percentage,Females,From 65 to 69 years,Estonia,2009,0
Total,Percentage,Females,From 65 to 69 years,Estonia,2006,1.47
Total,Percentage,Females,From 65 to 69 years,Finland,2009,1.88
Total,Percentage,Females,From 65 to 69 years,Finland,2006,1.14
Total,Percentage,Females,From 65 to 69 years,Croatia,2009,2.2
Total,Percentage,Females,From 65 to 69 years,Croatia,2006,3.56
Total,Percentage,Females,From 65 to 69 years,Hungary,2009,1.81
Total,Percentage,Females,From 65 to 69 years,Hungary,2006,0
Total,Percentage,Females,From 65 to 69 years,Israel,2009,3.26
Total,Percentage,Females,From 65 to 69 years,Israel,2006,0
Total,Percentage,Females,From 65 to 69 years,Iceland,2009,1.15
Total,Percentage,Females,From 65 to 69 years,Iceland,2006,0.56
Total,Percentage,Females,From 65 to 69 years,Lithuania,2009,3.75
Total,Percentage,Females,From 65 to 69 years,Lithuania,2006,5.4
Total,Percentage,Females,From 65 to 69 years,Latvia,2009,7.63
Total,Percentage,Females,From 65 to 69 years,Latvia,2006,8.13
Total,Percentage,Females,From 65 to 69 years,Malta,2009,0.22
Total,Percentage,Females,From 65 to 69 years,Malta,2006,0
Total,Percentage,Females,From 65 to 69 years,Norway,2009,1.13
Total,Percentage,Females,From 65 to 69 years,Norway,2006,0.66
Total,Percentage,Females,From 65 to 69 years,Poland,2009,0.41
Total,Percentage,Females,From 65 to 69 years,Poland,2006,0
Total,Percentage,Females,From 65 to 69 years,Portugal,2009,0
Total,Percentage,Females,From 65 to 69 years,Portugal,2006,0.83
Total,Percentage,Females,From 65 to 69 years,Russia,2009,2.53
Total,Percentage,Females,From 65 to 69 years,Russia,2006,0
Total,Percentage,Females,From 65 to 69 years,Sweden,2009,2.62
Total,Percentage,Females,From 65 to 69 years,Sweden,2006,2.01
Total,Percentage,Females,From 65 to 69 years,Slovenia,2009,1.11u
Total,Percentage,Females,From 65 to 69 years,Slovenia,2006,0
Total,Percentage,Females,From 65 to 69 years,Turkey,2009,0.83
Total,Percentage,Females,From 65 to 69 years,Turkey,2006,0
Total,Percentage,Females,From 65 to 69 years,United States,2009,1.68
Total,Percentage,Females,From 65 to 69 years,United States,2006,1.28
Total,Percentage,Females,70 years or over,Switzerland,2009,0
Total,Percentage,Females,70 years or over,Switzerland,2006,2.68
Total,Percentage,Females,70 years or over,Denmark,2009,0
Total,Percentage,Females,70 years or over,Denmark,2006,0
Total,Percentage,Females,70 years or over,Estonia,2009,0
Total,Percentage,Females,70 years or over,Estonia,2006,0
Total,Percentage,Females,70 years or over,Finland,2009,0
Total,Percentage,Females,70 years or over,Finland,2006,1.12
Total,Percentage,Females,70 years or over,Iceland,2009,0
Total,Percentage,Females,70 years or over,Iceland,2006,0
Total,Percentage,Females,70 years or over,Norway,2009,0
Total,Percentage,Females,70 years or over,Norway,2006,0.26
Total,Percentage,Females,70 years or over,United States,2009,0
Total,Percentage,Females,70 years or over,United States,2006,0.18
Total,Percentage,Females,Less than 35 years,Bulgaria,2009,5.33
Total,Percentage,Females,Less than 35 years,Bulgaria,2006,3.64
Total,Percentage,Females,Less than 35 years,Switzerland,2009,8.14
Total,Percentage,Females,Less than 35 years,Switzerland,2006,6.24
Total,Percentage,Females,Less than 35 years,Cyprus,2009,0
Total,Percentage,Females,Less than 35 years,Cyprus,2006,4.44
Total,Percentage,Females,Less than 35 years,Germany (until 1990 former territory of the FRG),2009,4.89
Total,Percentage,Females,Less than 35 years,Germany (until 1990 former territory of the FRG),2006,0
Total,Percentage,Females,Less than 35 years,Denmark,2009,3.96
Total,Percentage,Females,Less than 35 years,Denmark,2006,23.78
Total,Percentage,Females,Less than 35 years,Estonia,2009,0
Total,Percentage,Females,Less than 35 years,Estonia,2006,4.15
Total,Percentage,Females,Less than 35 years,Finland,2009,5.18
Total,Percentage,Females,Less than 35 years,Finland,2006,4.39
Total,Percentage,Females,Less than 35 years,Croatia,2009,5.27
Total,Percentage,Females,Less than 35 years,Croatia,2006,3.26
Total,Percentage,Females,Less than 35 years,Hungary,2009,4.99
Total,Percentage,Females,Less than 35 years,Hungary,2006,0
Total,Percentage,Females,Less than 35 years,Israel,2009,2.99
Total,Percentage,Females,Less than 35 years,Israel,2006,0
Total,Percentage,Females,Less than 35 years,Iceland,2009,0.86
Total,Percentage,Females,Less than 35 years,Iceland,2006,3.46
Total,Percentage,Females,Less than 35 years,Lithuania,2009,5.47
Total,Percentage,Females,Less than 35 years,Lithuania,2006,6.01
Total,Percentage,Females,Less than 35 years,Latvia,2009,4.13
Total,Percentage,Females,Less than 35 years,Latvia,2006,3.3
Total,Percentage,Females,Less than 35 years,Malta,2009,1.3
Total,Percentage,Females,Less than 35 years,Malta,2006,0
Total,Percentage,Females,Less than 35 years,Netherlands,2009,0
Total,Percentage,Females,Less than 35 years,Netherlands,2006,7.5
Total,Percentage,Females,Less than 35 years,Norway,2009,3.99
Total,Percentage,Females,Less than 35 years,Norway,2006,5.15
Total,Percentage,Females,Less than 35 years,Poland,2009,16.33
Total,Percentage,Females,Less than 35 years,Poland,2006,0
Total,Percentage,Females,Less than 35 years,Portugal,2009,28.14
Total,Percentage,Females,Less than 35 years,Portugal,2006,3.85
Total,Percentage,Females,Less than 35 years,Russia,2009,7.75
Total,Percentage,Females,Less than 35 years,Russia,2006,0
Total,Percentage,Females,Less than 35 years,Sweden,2009,5.44
Total,Percentage,Females,Less than 35 years,Sweden,2006,5.72
Total,Percentage,Females,Less than 35 years,Slovenia,2009,6.84
Total,Percentage,Females,Less than 35 years,Slovenia,2006,0
Total,Percentage,Females,Less than 35 years,Turkey,2009,6.17
Total,Percentage,Females,Less than 35 years,Turkey,2006,0
Total,Percentage,Females,Less than 35 years,United States,2009,4.44
Total,Percentage,Females,Less than 35 years,United States,2006,4.04
Total,Percentage,Males,Total,Bulgaria,2009,59.11
Total,Percentage,Males,Total,Bulgaria,2006,61.56
Total,Percentage,Males,Total,Switzerland,2009,71.47
Total,Percentage,Males,Total,Switzerland,2006,71.29
Total,Percentage,Males,Total,Cyprus,2009,0
Total,Percentage,Males,Total,Cyprus,2006,75.56
Total,Percentage,Males,Total,Germany (until 1990 former territory of the FRG),2009,70.49
Total,Percentage,Males,Total,Germany (until 1990 former territory of the FRG),2006,71.8
Total,Percentage,Males,Total,Denmark,2009,65.1
Total,Percentage,Males,Total,Denmark,2006,54.23
Total,Percentage,Males,Total,Estonia,2009,0
Total,Percentage,Males,Total,Estonia,2006,63.14
Total,Percentage,Males,Total,Finland,2009,59.66
Total,Percentage,Males,Total,Finland,2006,64.31
Total,Percentage,Males,Total,Croatia,2009,58.71
Total,Percentage,Males,Total,Croatia,2006,60.37
Total,Percentage,Males,Total,Hungary,2009,68.37
Total,Percentage,Males,Total,Hungary,2006,0
Total,Percentage,Males,Total,Israel,2009,60.8
Total,Percentage,Males,Total,Israel,2006,0
Total,Percentage,Males,Total,Iceland,2009,68.59
Total,Percentage,Males,Total,Iceland,2006,71.5
Total,Percentage,Males,Total,Lithuania,2009,56.31
Total,Percentage,Males,Total,Lithuania,2006,59.26
Total,Percentage,Males,Total,Latvia,2009,51.07
Total,Percentage,Males,Total,Latvia,2006,55.51
Total,Percentage,Males,Total,Malta,2009,78.46
Total,Percentage,Males,Total,Malta,2006,0
Total,Percentage,Males,Total,Netherlands,2009,0
Total,Percentage,Males,Total,Netherlands,2006,70
Total,Percentage,Males,Total,Norway,2009,66.22
Total,Percentage,Males,Total,Norway,2006,70.54
Total,Percentage,Males,Total,Poland,2009,56.2
Total,Percentage,Males,Total,Poland,2006,0
Total,Percentage,Males,Total,Portugal,2009,46.01
Total,Percentage,Males,Total,Portugal,2006,59.21
Total,Percentage,Males,Total,Russia,2009,59.96
Total,Percentage,Males,Total,Russia,2006,0
Total,Percentage,Males,Total,Sweden,2009,63.67
Total,Percentage,Males,Total,Sweden,2006,66.61
Total,Percentage,Males,Total,Slovenia,2009,62.28
Total,Percentage,Males,Total,Slovenia,2006,0
Total,Percentage,Males,Total,Turkey,2009,65.14
Total,Percentage,Males,Total,Turkey,2006,0
Total,Percentage,Males,Total,United States,2009,68.77
Total,Percentage,Males,Total,United States,2006,70.32
Total,Percentage,Males,Unknown,Bulgaria,2009,0
Total,Percentage,Males,Unknown,Bulgaria,2006,0
Total,Percentage,Males,Unknown,Germany (until 1990 former territory of the FRG),2009,0
Total,Percentage,Males,Unknown,Germany (until 1990 former territory of the FRG),2006,0
Total,Percentage,Males,Unknown,Israel,2009,0
Total,Percentage,Males,Unknown,Israel,2006,0
Total,Percentage,Males,Unknown,Lithuania,2009,0
Total,Percentage,Males,Unknown,Lithuania,2006,0
Total,Percentage,Males,Unknown,Norway,2009,0
Total,Percentage,Males,Unknown,Norway,2006,0
Total,Percentage,Males,Unknown,Poland,2009,0
Total,Percentage,Males,Unknown,Poland,2006,0
Total,Percentage,Males,Unknown,Portugal,2009,0
Total,Percentage,Males,Unknown,Portugal,2006,0
Total,Percentage,Males,Unknown,Russia,2009,0
Total,Percentage,Males,Unknown,Russia,2006,0
Total,Percentage,Males,From 35 to 44 years,Bulgaria,2009,8.08
Total,Percentage,Males,From 35 to 44 years,Bulgaria,2006,7.6
Total,Percentage,Males,From 35 to 44 years,Switzerland,2009,19.73
Total,Percentage,Males,From 35 to 44 years,Switzerland,2006,20.48
Total,Percentage,Males,From 35 to 44 years,Cyprus,2009,0
Total,Percentage,Males,From 35 to 44 years,Cyprus,2006,21.3
Total,Percentage,Males,From 35 to 44 years,Germany (until 1990 former territory of the FRG),2009,15.96
Total,Percentage,Males,From 35 to 44 years,Germany (until 1990 former territory of the FRG),2006,18.56
Total,Percentage,Males,From 35 to 44 years,Denmark,2009,27.46
Total,Percentage,Males,From 35 to 44 years,Denmark,2006,15.41
Total,Percentage,Males,From 35 to 44 years,Estonia,2009,0
Total,Percentage,Males,From 35 to 44 years,Estonia,2006,14.92
Total,Percentage,Males,From 35 to 44 years,Finland,2009,16.49
Total,Percentage,Males,From 35 to 44 years,Finland,2006,16.93
Total,Percentage,Males,From 35 to 44 years,Croatia,2009,14.46
Total,Percentage,Males,From 35 to 44 years,Croatia,2006,12.82
Total,Percentage,Males,From 35 to 44 years,Hungary,2009,18.42
Total,Percentage,Males,From 35 to 44 years,Hungary,2006,0
Total,Percentage,Males,From 35 to 44 years,Israel,2009,11.83
Total,Percentage,Males,From 35 to 44 years,Israel,2006,0
Total,Percentage,Males,From 35 to 44 years,Iceland,2009,14.41
Total,Percentage,Males,From 35 to 44 years,Iceland,2006,16.26
Total,Percentage,Males,From 35 to 44 years,Lithuania,2009,11.79
Total,Percentage,Males,From 35 to 44 years,Lithuania,2006,9.99
Total,Percentage,Males,From 35 to 44 years,Latvia,2009,5.98
Total,Percentage,Males,From 35 to 44 years,Latvia,2006,6.74
Total,Percentage,Males,From 35 to 44 years,Malta,2009,18.86
Total,Percentage,Males,From 35 to 44 years,Malta,2006,0
Total,Percentage,Males,From 35 to 44 years,Netherlands,2009,0
Total,Percentage,Males,From 35 to 44 years,Netherlands,2006,17.5
Total,Percentage,Males,From 35 to 44 years,Norway,2009,19.04
Total,Percentage,Males,From 35 to 44 years,Norway,2006,21.73
Total,Percentage,Males,From 35 to 44 years,Poland,2009,17.55
Total,Percentage,Males,From 35 to 44 years,Poland,2006,0
Total,Percentage,Males,From 35 to 44 years,Portugal,2009,18.06
Total,Percentage,Males,From 35 to 44 years,Portugal,2006,20.56
Total,Percentage,Males,From 35 to 44 years,Russia,2009,6.65
Total,Percentage,Males,From 35 to 44 years,Russia,2006,0
Total,Percentage,Males,From 35 to 44 years,Sweden,2009,17.88
Total,Percentage,Males,From 35 to 44 years,Sweden,2006,18.44
Total,Percentage,Males,From 35 to 44 years,Slovenia,2009,17.45
Total,Percentage,Males,From 35 to 44 years,Slovenia,2006,0
Total,Percentage,Males,From 35 to 44 years,Turkey,2009,26.02
Total,Percentage,Males,From 35 to 44 years,Turkey,2006,0
Total,Percentage,Males,From 35 to 44 years,United States,2009,16.25
Total,Percentage,Males,From 35 to 44 years,United States,2006,17.02
Total,Percentage,Males,From 45 to 54 years,Bulgaria,2009,16.75
Total,Percentage,Males,From 45 to 54 years,Bulgaria,2006,17.17
Total,Percentage,Males,From 45 to 54 years,Switzerland,2009,19.54
Total,Percentage,Males,From 45 to 54 years,Switzerland,2006,13.74
Total,Percentage,Males,From 45 to 54 years,Cyprus,2009,0
Total,Percentage,Males,From 45 to 54 years,Cyprus,2006,24.44
Total,Percentage,Males,From 45 to 54 years,Germany (until 1990 former territory of the FRG),2009,16.11
Total,Percentage,Males,From 45 to 54 years,Germany (until 1990 former territory of the FRG),2006,15.76
Total,Percentage,Males,From 45 to 54 years,Denmark,2009,19.78
Total,Percentage,Males,From 45 to 54 years,Denmark,2006,3.6
Total,Percentage,Males,From 45 to 54 years,Estonia,2009,0
Total,Percentage,Males,From 45 to 54 years,Estonia,2006,16.32
Total,Percentage,Males,From 45 to 54 years,Finland,2009,16.53
Total,Percentage,Males,From 45 to 54 years,Finland,2006,16.94
Total,Percentage,Males,From 45 to 54 years,Croatia,2009,14.92
Total,Percentage,Males,From 45 to 54 years,Croatia,2006,15.16
Total,Percentage,Males,From 45 to 54 years,Hungary,2009,15.42
Total,Percentage,Males,From 45 to 54 years,Hungary,2006,0
Total,Percentage,Males,From 45 to 54 years,Israel,2009,17.72
Total,Percentage,Males,From 45 to 54 years,Israel,2006,0
Total,Percentage,Males,From 45 to 54 years,Iceland,2009,21.9
Total,Percentage,Males,From 45 to 54 years,Iceland,2006,26.89
Total,Percentage,Males,From 45 to 54 years,Lithuania,2009,15.5
Total,Percentage,Males,From 45 to 54 years,Lithuania,2006,15.93
Total,Percentage,Males,From 45 to 54 years,Latvia,2009,11.38
Total,Percentage,Males,From 45 to 54 years,Latvia,2006,13.63
Total,Percentage,Males,From 45 to 54 years,Malta,2009,23.11
Total,Percentage,Males,From 45 to 54 years,Malta,2006,0
Total,Percentage,Males,From 45 to 54 years,Netherlands,2009,0
Total,Percentage,Males,From 45 to 54 years,Netherlands,2006,17.5
Total,Percentage,Males,From 45 to 54 years,Norway,2009,20.44
Total,Percentage,Males,From 45 to 54 years,Norway,2006,20.48
Total,Percentage,Males,From 45 to 54 years,Poland,2009,9.79
Total,Percentage,Males,From 45 to 54 years,Poland,2006,0
Total,Percentage,Males,From 45 to 54 years,Portugal,2009,4.58
Total,Percentage,Males,From 45 to 54 years,Portugal,2006,19.42
Total,Percentage,Males,From 45 to 54 years,Russia,2009,13.27
Total,Percentage,Males,From 45 to 54 years,Russia,2006,0
Total,Percentage,Males,From 45 to 54 years,Sweden,2009,15.93
Total,Percentage,Males,From 45 to 54 years,Sweden,2006,16.5
Total,Percentage,Males,From 45 to 54 years,Slovenia,2009,15.13
Total,Percentage,Males,From 45 to 54 years,Slovenia,2006,0
Total,Percentage,Males,From 45 to 54 years,Turkey,2009,18.73
Total,Percentage,Males,From 45 to 54 years,Turkey,2006,0
Total,Percentage,Males,From 45 to 54 years,United States,2009,18.31
Total,Percentage,Males,From 45 to 54 years,United States,2006,19.02
Total,Percentage,Males,From 55 to 64 years,Bulgaria,2009,20.9
Total,Percentage,Males,From 55 to 64 years,Bulgaria,2006,23.69
Total,Percentage,Males,From 55 to 64 years,Switzerland,2009,16.12
Total,Percentage,Males,From 55 to 64 years,Switzerland,2006,15.99
Total,Percentage,Males,From 55 to 64 years,Cyprus,2009,0
Total,Percentage,Males,From 55 to 64 years,Cyprus,2006,17.22
Total,Percentage,Males,From 55 to 64 years,Germany (until 1990 former territory of the FRG),2009,13.64
Total,Percentage,Males,From 55 to 64 years,Germany (until 1990 former territory of the FRG),2006,14.38
Total,Percentage,Males,From 55 to 64 years,Denmark,2009,8.51
Total,Percentage,Males,From 55 to 64 years,Denmark,2006,0.27
Total,Percentage,Males,From 55 to 64 years,Estonia,2009,0
Total,Percentage,Males,From 55 to 64 years,Estonia,2006,16.5
Total,Percentage,Males,From 55 to 64 years,Finland,2009,15.2
